14:48:50  28/10/2018:click chuot trai: X = 467 ; Y = 166
14:48:50  28/10/2018:click chuot trai: X = 405 ; Y = 155
14:48:51  28/10/2018:click chuot phai: X = 396 ; Y = 173
14:48:51  28/10/2018:click chuot trai: X = 387 ; Y = 174
14:48:51  28/10/2018:click chuot phai: X = 452 ; Y = 118
14:48:52  28/10/2018:click chuot trai: X = 395 ; Y = 118
14:48:52  28/10/2018:click chuot phai: X = 350 ; Y = 125
14:48:52  28/10/2018:click chuot phai: X = 361 ; Y = 153
14:48:53  28/10/2018:click chuot phai: X = 411 ; Y = 129
14:48:53  28/10/2018:click chuot phai: X = 378 ; Y = 284
14:48:53  28/10/2018:click chuot phai: X = 319 ; Y = 126
14:48:54  28/10/2018:click chuot phai: X = 315 ; Y = 124
14:48:54  28/10/2018:click chuot trai: X = 331 ; Y = 117
14:48:54  28/10/2018:click chuot phai: X = 340 ; Y = 106
14:48:54  28/10/2018:click chuot phai: X = 324 ; Y = 102
14:48:55  28/10/2018:click chuot phai: X = 288 ; Y = 119
14:48:55  28/10/2018:click chuot phai: X = 310 ; Y = 117
14:48:56  28/10/2018:click chuot trai: X = 296 ; Y = 102
14:48:56  28/10/2018:click chuot phai: X = 293 ; Y = 113
14:48:57  28/10/2018:click chuot phai: X = 337 ; Y = 120
14:48:57  28/10/2018:click chuot trai: X = 325 ; Y = 160
14:48:57  28/10/2018:click chuot trai: X = 318 ; Y = 155
14:48:57  28/10/2018:click chuot phai: X = 386 ; Y = 170
14:48:58  28/10/2018:click chuot phai: X = 436 ; Y = 143
14:48:58  28/10/2018:click chuot trai: X = 436 ; Y = 152
14:59:28  28/10/2018:click chuot phai: X = 398 ; Y = 156
14:59:28  28/10/2018:click chuot trai: X = 399 ; Y = 155
14:59:28  28/10/2018:click dup chuot trai: X = 399 ; Y = 155
14:59:28  28/10/2018:click chuot phai: X = 399 ; Y = 155
14:59:29  28/10/2018:click chuot giua: X = 382 ; Y = 177
14:59:29  28/10/2018:click chuot phai: X = 386 ; Y = 161
14:59:29  28/10/2018:click chuot trai: X = 386 ; Y = 145
14:59:29  28/10/2018:click chuot phai: X = 386 ; Y = 146
14:59:30  28/10/2018:click chuot trai: X = 386 ; Y = 146
14:59:30  28/10/2018:click chuot phai: X = 386 ; Y = 146
14:59:30  28/10/2018:click chuot giua: X = 386 ; Y = 145
14:59:30  28/10/2018:click chuot phai: X = 386 ; Y = 145
14:59:31  28/10/2018:click chuot trai: X = 386 ; Y = 145
14:59:31  28/10/2018:click chuot phai: X = 386 ; Y = 145
14:59:31  28/10/2018:click dup chuot phai: X = 386 ; Y = 145
14:59:31  28/10/2018:click chuot giua: X = 385 ; Y = 145
14:59:33  28/10/2018:click chuot phai: X = 438 ; Y = 208
14:59:33  28/10/2018:click chuot phai: X = 419 ; Y = 159
14:59:33  28/10/2018:click chuot trai: X = 401 ; Y = 151
14:59:33  28/10/2018:click dup chuot trai: X = 400 ; Y = 150
14:59:34  28/10/2018:click chuot giua: X = 399 ; Y = 150
14:59:34  28/10/2018:click chuot phai: X = 398 ; Y = 150
14:59:34  28/10/2018:click chuot trai: X = 398 ; Y = 150
14:59:35  28/10/2018:click dup chuot trai: X = 398 ; Y = 150
14:59:35  28/10/2018:click chuot phai: X = 398 ; Y = 150
14:59:35  28/10/2018:click dup chuot phai: X = 398 ; Y = 150
14:59:35  28/10/2018:click chuot giua: X = 398 ; Y = 150
14:59:36  28/10/2018:click chuot trai: X = 398 ; Y = 150
14:59:36  28/10/2018:click chuot phai: X = 398 ; Y = 150
14:59:36  28/10/2018:click chuot giua: X = 398 ; Y = 150
14:59:37  28/10/2018:click dup chuot giua: X = 398 ; Y = 150
14:59:37  28/10/2018:click chuot trai: X = 397 ; Y = 150
14:59:37  28/10/2018:click chuot phai: X = 397 ; Y = 150
14:59:38  28/10/2018:click dup chuot phai: X = 397 ; Y = 150
14:59:38  28/10/2018:click chuot trai: X = 397 ; Y = 150
14:59:38  28/10/2018:click chuot giua: X = 397 ; Y = 150
14:59:39  28/10/2018:click chuot phai: X = 397 ; Y = 150
14:59:39  28/10/2018:click chuot trai: X = 397 ; Y = 150
14:59:39  28/10/2018:click chuot phai: X = 397 ; Y = 150
14:59:40  28/10/2018:click dup chuot phai: X = 397 ; Y = 150
14:59:40  28/10/2018:click chuot giua: X = 397 ; Y = 150
14:59:40  28/10/2018:click chuot trai: X = 397 ; Y = 150
14:59:42  28/10/2018:click chuot trai: X = 396 ; Y = 149
14:59:42  28/10/2018:click dup chuot trai: X = 396 ; Y = 149
14:59:42  28/10/2018:click chuot trai: X = 396 ; Y = 149
